Название,Группа товара,Цена,Наличие
NSK Nakanishi SG2L  ,насадка для ультразвуковой костной хирургии,10 720 ₽,на складе
Arkodor ARX71A  ,"шкаф с двумя распашными металлическими дверями с замками, с сейфом,...",19 120 ₽,на складе
Satelec ISurge ,"кабель микромотора, автоклавируемый",Свяжитесь с нами насчёт цены,на складе
HLW ,"Щипцы для удаления зубов верхние премоляры, 11-7N*",4 900 ₽,Под заказ
Dixion Altafor 1340 Plus  ,медицинский электрокоагулятор,282 000 ₽,на складе
,"СпецМедЗащита Защитное изделие из нетканых материалов, 3-х слойное",40 ₽,на складе
Asa Dental ,Элеватор N2 флажок заостренный к себе,1 450 ₽,на складе
NSK Nakanishi SGO5  ,"микропила для осциллирующих движений, толщина лезвия 0,35 мм",2 660 ₽,на складе
Arkodor AR62C  ,"шкаф с распашной металлической дверью, двумя металлическими полками,...",54 820 ₽,на складе
,Аверон КЮВЕТА 1.0 МИНИ для термопресса,11 900 ₽,на складе
Vatech EzCam  ,проводная интраоральная камера,59 010 ₽,на складе
,"Армед 1-115 МТ - облучатель-рециркулятор медицинский, металлический корпус, цвет белы...",4 100 ₽,в наличии
HLW ,"Щипцы для удаления зубов детские нижние, моляры 11-40",4 400 ₽,Под заказ
MihmVogt HTS2 M  ,высокотемпературная печь,714 980 ₽,на складе
Asa Dental ,"Элеватор прямой со скошенным концом, 2,5 мм, 0218-2",1 560 ₽,на складе
NSK Nakanishi EX ARECM(S)  ,угловой наконечник с наружной системой подачи охлаждения...,Свяжитесь с нами насчёт цены,на складе
Daiei Dental Cycle Junior III. Angel  ,"пескоструйный аппарат, однокамерный",Свяжитесь с нами насчёт цены,на складе
,Аверон КЮВЕТА 1.0 МИДЛ для термопресса,12 900 ₽,на складе
HLW ,"Ложка слепочная нижняя, S, без перфорации",800 ₽,Под заказ
Asa Dental ,Ложка слепочная нижняя средняя (M) без перфорации с бортиками,780 ₽,на складе
Micro NX BLDC  ,наконечник (50000 об/мин.),Свяжитесь с нами насчёт цены,на складе
HLW ,"Элеватор мини прямой, 4,5 мм, фронтальная группа зубов, верхняя челюсть",4 900 ₽,Под заказ
HLW ,"Элеватор Pott, 2 мм",1 900 ₽,Под заказ
HLW ,"Ложка слепочная нижняя, XL, с перфорацией, 33-11*",800 ₽,Под заказ
,"Амико Передник для защиты гонад Pb=0,35 взрослый (резина)",3 290 ₽,на складе
Mercury JWX01  ,"стоматологическая помпа для 2-х стоматологических установок, 700/800 Вт",60 000 ₽,на складе
Ronvig DENTOPREP DUSTCABINET  ,пылеуловитель,60 640 ₽,на складе
HLW ,"Щипцы для удаления зубов верхние, моляры правые, 11-89*",4 400 ₽,Под заказ
Asa Dental ,Элеватор прямой малый,1 450 ₽,на складе
Asa Dental ,"Ложка слепочная верхняя большая (L) с перфораций без бортика, детская, из ...",460 ₽,на складе
"LM LMSupra A, ","насадка для полировки, универсальная",18 300 ₽,на складе
DeguDent ,Муфельное дно 3,Свяжитесь с нами насчёт цены,на складе
Song Young ,"Подставка керамическая для обжига керамики, №3 - для моляров, 8шт",Свяжитесь с нами насчёт цены,на складе
NSK Nakanishi P20S  ,прямая насадка для пародонтологии,5 840 ₽,на складе
SAM MPS 250  ,монтажные пластины MPS,2 620 ₽,на складе
HLW ,"Элеватор Winter правый, 13-1WR*",1 900 ₽,Под заказ
Sonz ZClave I 18L  ,"автоклав класса B, 18 литров",140 000 ₽,на складе
Song Young ,"Подставка керамическая для обжига керамики, №6 - для моляров, 8шт",Свяжитесь с нами насчёт цены,на складе
